male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
186;4;nsdap;O;0.00142023157249535;0.00139033196044281;2.98996120525336e-05;0.0412707917938996;-0.238972191106715
145;2;mitgliedsnumm;O;0.00109881074293061;0.00108386093690434;1.49498060262668e-05;0.0408755497318665;-0.263354998501718
92;3;beantragt;O;0.000710115786247673;0.000687691077208273;2.24247090394002e-05;0.0357966241263179;-0.194675344141376
172;10;weltkrieg;O;0.00136043234839028;0.00128568331825895;7.4749030131334e-05;0.0354922979075828;-0.161052925104823
98;4;verdienstkreuz;O;0.000762440107339607;0.000732540495287074;2.98996120525336e-05;0.0350132143761598;-0.179260993276648
142;8;mitbegrund;O;0.00112123545197001;0.00106143622786494;5.97992241050672e-05;0.0347477528099636;-0.160418882018578
60;2;bhe;O;0.000463443986814271;0.000448494180788004;1.49498060262668e-05;0.0337209612931184;-0.185656070320194
44;1;ruckwirk;O;0.000336370635591003;0.00032889573257787;7.4749030131334e-06;0.0337032855536439;-0.206326109502785
59;2;dien;O;0.000455969083801138;0.000441019277774871;1.49498060262668e-05;0.0335768648879308;-0.184192584075379
105;6;aufnahm;O;0.000829714234457808;0.000784864816379007;4.48494180788004e-05;0.0331742135280988;-0.154468875316493
134;9;bundesrepubl;O;0.00106891113087808;0.00100163700375988;6.72741271182006e-05;0.0329795354328967;-0.145150522987969
55;2;cda;O;0.000426069471748604;0.000411119665722337;1.49498060262668e-05;0.0329690505457128;-0.178088386207913
75;4;klass;O;0.000590517338037539;0.000560617725985005;2.98996120525336e-05;0.0321654486110701;-0.154732947929641
48;2;leistet;O;0.00037374515065667;0.000358795344630403;1.49498060262668e-05;0.0317598796662465;-0.166295525374865
139;11;ju;O;0.00112123545197001;0.00103901151882554;8.22239331444674e-05;0.0315313405147195;-0.131993843065465
92;6;aufgenomm;O;0.000732540495287074;0.000687691077208273;4.48494180788004e-05;0.0315272121930018;-0.142027781118036
46;2;berichterstatt;O;0.000358795344630403;0.000343845538604137;1.49498060262668e-05;0.0313725210525218;-0.162621447038913
46;2;kriegsend;O;0.000358795344630403;0.000343845538604137;1.49498060262668e-05;0.0313725210525218;-0.162621447038913
77;5;a–m;O;0.000612942047076939;0.000575567532011272;3.7374515065667e-05;0.030810573301154;-0.139887278420455
103;8;saarland;O;0.000829714234457808;0.000769915010352741;5.97992241050672e-05;0.0304027379224889;-0.129455383699215
169;16;bd;O;0.00138285705742968;0.00126325860921955;0.000119598448210134;0.0303126306142259;-0.1192033493471
41;2;pol;O;0.000321420829564736;0.00030647102353847;1.49498060262668e-05;0.0302998345210224;-0.152721100159934
39;2;jungsozialist;O;0.00030647102353847;0.000291521217512203;1.49498060262668e-05;0.0298210275677898;-0.148434460444468
59;4;amtiert;O;0.000470918889827404;0.000441019277774871;2.98996120525336e-05;0.0294014700745559;-0.133008969961897
181;19;handbuch;O;0.00149498060262668;0.00135295744537715;0.000142023157249535;0.0292099326831348;-0.110918071403634
179;19;biograph;O;0.00148003079660041;0.00133800763935088;0.000142023157249535;0.0290005421737271;-0.109783660582204
141;14;saur;O;0.00115860996703568;0.00105396132485181;0.000104648642183868;0.0288978051767908;-0.112731190208378
246;29;schloss;O;0.00205559832861169;0.00183882614123082;0.000216772187380869;0.0287881564999056;-0.104102503524361
46;3;gb;O;0.000366270247643537;0.000343845538604137;2.24247090394002e-05;0.0287871335910451;-0.132831801305868
140;14;vierhaus;O;0.00115113506402254;0.00104648642183868;0.000104648642183868;0.0287738481428474;-0.112024961767931
83;7;ministerprasident;O;0.000672741271182006;0.000620416950090073;5.23243210919338e-05;0.0286788052903186;-0.119973234288397
138;14;mitarb;O;0.00113618525799628;0.00103153661581241;0.000104648642183868;0.0285221760051257;-0.110598641939573
